DisplayName,Surname,GivenName,OfficePhone,EmailAddress,SamAccountName,Initials,Name,UserPrincipalName,Password
"Woodard, Amos U M MSgt USAF 1 AS/CCF 1 AIRLIFT SQ/DOFA",Woodard,Amos,652-7720,Amos.U.Woodard.12@fake.af.mil,1644,U,1644,1644@ftss.aetc.af.mil,23e#J@iwaAef
"Petty, Walter P P A1C USAF ACC 20 AMXS/MXABW",Petty,Walter,909-9267,Walter.P.Petty.12@fake.af.mil,6BD6,P,6BD6,6BD6@ftss.aetc.af.mil,23e#J@iwaUef
"Conner, Castor Z J SrA USAF 18 ASOG 20 AIR SUPT OPNS SQ/drum",Conner,Castor,856-4578,Castor.Z.Conner.17@fake.af.mil,1A61,Z,1A61,1A61@ftss.aetc.af.mil,23e#J@iwaAef
"Henry, Marsden W S MAJ USA ACC 1 BCD/Airspace OIC",Henry,Marsden,1-764-467-7897,Marsden.W.Henry.11@fake.af.mil,3B25,W,3B25,3B25@ftss.aetc.af.mil,23e#J@iwaAef
"Mathews, Willow Q L CTR USAF AFCENT NG",Mathews,Willow,471-7712,Willow.Q.Mathews.18@fake.af.mil,1D263,Q,1D263,1D263@ftss.aetc.af.mil,23e#J@iwaCef
"Carey, Yen S A A1C USAF ACC 20 CES/CED",Carey,Yen,727-7228,Yen.S.Carey.2@fake.af.mil,5E7FD,S,5E7FD,5E7FD@ftss.aetc.af.mil,23e#J@iwaUef
"Hodges, Raya S D WG-04 USAF USAFA 10 FSS/FSLFO",Hodges,Raya,1-306-542-4331,Raya.S.Hodges.1@fake.af.mil,B7469,S,B7469,B7469@ftss.aetc.af.mil,23e#J@iwaUef
"Bryant, Carly N H JR CTR USAF ANG CRF",Bryant,Carly,350-9787,Carly.N.Bryant.8@fake.af.mil,581A2,N,581A2,581A2@ftss.aetc.af.mil,23e#J@iwaCef
"Turner, Hillary O J SSgt USAF AMC 817 GMRS/FPF",Turner,Hillary,261-8445,Hillary.O.Turner.5@fake.af.mil,838C9,O,838C9,838C9@ftss.aetc.af.mil,23e#J@iwaUef
"Joyner, Emma C F GS-13 USAF AFSPC CYSS/DOT",Joyner,Emma,1-164-509-7640,Emma.C.Joyner.15@fake.af.mil,3FCDB,C,3FCDB,3FCDB@ftss.aetc.af.mil,23e#J@iwaGef
"Mcdaniel, Halee F B III CTR USAF AMC A3/A3RI",Mcdaniel,Halee,424-4741,Halee.F.Mcdaniel.5@fake.af.mil,6D235,F,6D235,6D235@ftss.aetc.af.mil,23e#J@iwaCef
"Hebert, Kai W L MSgt USAF AMC 92 CES/CEOF",Hebert,Kai,165-8473,Kai.W.Hebert.10@fake.af.mil,1B1A5,W,1B1A5,1B1A5@ftss.aetc.af.mil,23e#J@iwaUef
"Sawyer, Portia F J Capt USAF ACC 963 AACS/DOMB",Sawyer,Portia,842-1252,Portia.F.Sawyer.2@fake.af.mil,4C6AB,F,4C6AB,4C6AB@ftss.aetc.af.mil,23e#J@iwaUef
"Vargas, Dominic M J GS-13 USAF AFRC HQ AFRC/A1CC",Vargas,Dominic,209-6867,Dominic.M.Vargas.10@fake.af.mil,ECE2C,M,ECE2C,ECE2C@ftss.aetc.af.mil,23e#J@iwaUef
"Melendez, Solomon R M 1st Lt USAF ACC 74 FS/74 FS",Melendez,Solomon,1-234-941-5136,Solomon.R.Melendez.12@fake.af.mil,265B8,R,265B8,265B8@ftss.aetc.af.mil,23e#J@iwaAef
"Parrish, Rhonda Y S Lt Col USAF 1 HS 1 HELICOPTER SQ/CSS",Parrish,Rhonda,378-7815,Rhonda.Y.Parrish.16@fake.af.mil,403BA,Y,403BA,403BA@ftss.aetc.af.mil,23e#J@iwaHef
"Stevenson, Quon J M SrA USAF AMC 437 AMXS/MXABB",Stevenson,Quon,1-884-947-0227,Quon.J.Stevenson.8@fake.af.mil,8A489,J,8A489,8A489@ftss.aetc.af.mil,23e#J@iwaUef
"Sanchez, Leigh K D SSgt USAF AFISRA 29 IS/Voodoo",Sanchez,Leigh,1-229-275-1816,Leigh.K.Sanchez.11@fake.af.mil,20BF6,K,20BF6,20BF6@ftss.aetc.af.mil,23e#J@iwaUef
"Espinoza, Caryn A W MSgt USAF ANG 144 CIVIL ENGINEER SQ/CEOP",Espinoza,Caryn,1-714-258-1370,Caryn.A.Espinoza.9@fake.af.mil,9A4B9,A,9A4B9,9A4B9@ftss.aetc.af.mil,23e#J@iwa1ef
"Mccullough, Darius P F MSgt USAF AFGSC 91 MSFS/SFO",Mccullough,Darius,298-9583,Darius.P.Mccullough.13@fake.af.mil,3617F,P,3617F,3617F@ftss.aetc.af.mil,23e#J@iwaUef
"Rogers, Chandler C D MSgt USAF AMC 43 AMXS/CCF",Rogers,Chandler,638-0138,Chandler.C.Rogers.18@fake.af.mil,639A,C,639A,639A@ftss.aetc.af.mil,23e#J@iwaAef
"Daugherty, Grant N L SSgt USAF AFSPC 21 SFS/S3OB",Daugherty,Grant,340-6620,Grant.N.Daugherty.15@fake.af.mil,39CE,N,39CE,39CE@ftss.aetc.af.mil,23e#J@iwaUef
"Blackwell, Shad Q J GS-06 USAF AFMC AFRL/RQO",Blackwell,Shad,1-277-512-1341,Shad.Q.Blackwell.3@fake.af.mil,37F2F,Q,37F2F,37F2F@ftss.aetc.af.mil,23e#J@iwaAef
"Vang, Beverly O L Maj USAF AFPC AFPC/DPFCS",Vang,Beverly,1-818-352-8400,Beverly.O.Vang.4@fake.af.mil,503AC,O,503AC,503AC@ftss.aetc.af.mil,23e#J@iwaAef
"Evans, Quinn R M CTR USAF AFSPC 11 SWS/Security",Evans,Quinn,675-0988,Quinn.R.Evans.18@fake.af.mil,29BF3,R,29BF3,29BF3@ftss.aetc.af.mil,23e#J@iwaCef
"Shepard, Dorothy Y W TSgt USAF AFRC 514 MXS/MXMP",Shepard,Dorothy,1-680-237-5676,Dorothy.Y.Shepard.18@fake.af.mil,6EC50,Y,6EC50,6EC50@ftss.aetc.af.mil,23e#J@iwaUef
"Kline, Clayton Q A CTR USAF USAFE 48 CMS/MXMD",Kline,Clayton,1-422-932-1031,Clayton.Q.Kline.4@fake.af.mil,11DE1,Q,11DE1,11DE1@ftss.aetc.af.mil,23e#J@iwaUef
"Park, Omar U J GS-07 USAF AETC ACSC/CCS",Park,Omar,1-818-622-7691,Omar.U.Park.12@fake.af.mil,3A72D,U,3A72D,3A72D@ftss.aetc.af.mil,23e#J@iwaCef
"Lara, Indigo T J SMSgt USAF AFMC HQ AFMC/HC",Lara,Indigo,1-990-559-2636,Indigo.T.Lara.7@fake.af.mil,3C74E,T,3C74E,3C74E@ftss.aetc.af.mil,23e#J@iwaUef
"Dale, Xenos G E SA (NON-MAIL ENABLED)",Dale,Xenos,1-135-953-9591,Xenos.G.Dale.3@fake.af.mil,46D4E,G,46D4E,46D4E@ftss.aetc.af.mil,23e#J@iwaGef
"Johnson, Gisela F J JR WS-10 USAF AFMC 402 AMXG/MXDPB",Johnson,Gisela,504-6220,Gisela.F.Johnson.10@fake.af.mil,3FCA2,F,3FCA2,3FCA2@ftss.aetc.af.mil,23e#J@iwaCef
"Freeman, Jasmine J D CMSgt USAF AMC 436 MDG/CCC",Freeman,Jasmine,464-7605,Jasmine.J.Freeman.6@fake.af.mil,49E66,J,49E66,49E66@ftss.aetc.af.mil,23e#J@iwaUef
"Taylor, Cleo Z L SMSgt USAF AFGSC 90 SFG/SFV",Taylor,Cleo,830-6678,Cleo.Z.Taylor.10@fake.af.mil,A281,Z,A281,A281@ftss.aetc.af.mil,23e#J@iwaUef
"Frank, Beatrice W L PO3 USN ACC 55 SFS/SFN",Frank,Beatrice,789-5671,Beatrice.W.Frank.2@fake.af.mil,1739E,W,1739E,1739E@ftss.aetc.af.mil,23e#J@iwaUef
"Palmer, Drew Q M MSgt USAF ANG 242 CBCS/SCMC",Palmer,Drew,222-5678,Drew.Q.Palmer.15@fake.af.mil,3D603,Q,3D603,3D603@ftss.aetc.af.mil,23e#J@iwaAef
"Maynard, Eve O M TSgt USAF ANG 242 CBCS/SCMC ADM",Maynard,Eve,1-313-436-8204,Eve.O.Maynard.15@fake.af.mil,26803,O,26803,26803@ftss.aetc.af.mil,23e#J@iwaHef
"Hebert, Lester N J NF-02 USAF AMC 628 FSS/FSCO",Hebert,Lester,360-9477,Lester.N.Hebert.4@fake.af.mil,4CAF,N,4CAF,4CAF@ftss.aetc.af.mil,23e#J@iwaUef
"Miller, Heidi G S SSgt USAF AFRC 440 MDS/SGA",Miller,Heidi,1-218-878-7091,Heidi.G.Miller.6@fake.af.mil,32466,G,32466,32466@ftss.aetc.af.mil,23e#J@iwaUef
"Conway, Tanek I D TSgt USAF AMC 43 LRS/LGRF",Conway,Tanek,1-623-284-5466,Tanek.I.Conway.6@fake.af.mil,261FF,I,261FF,261FF@ftss.aetc.af.mil,23e#J@iwa1ef
"Mcclure, Karleigh V D TSgt USAF ACC 633 CONS/LGCZ",Mcclure,Karleigh,1-653-781-6178,Karleigh.V.Mcclure.4@fake.af.mil,67347,V,67347,67347@ftss.aetc.af.mil,23e#J@iwaUef
"Walsh, Hilda H A SSgt USAF AFMC 377 SFS/SFO",Walsh,Hilda,1-221-234-1167,Hilda.H.Walsh.5@fake.af.mil,601B9,H,601B9,601B9@ftss.aetc.af.mil,23e#J@iwaAef
"Roberts, Warren B A Amn (NON-MAIL ENABLED)",Roberts,Warren,1-649-175-9301,Warren.B.Roberts.2@fake.af.mil,63C09,B,63C09,63C09@ftss.aetc.af.mil,23e#J@iwaUef
"Raymond, Ciaran R M SrA USAF AFISRA 94 IS/CSS",Raymond,Ciaran,580-1820,Ciaran.R.Raymond.2@fake.af.mil,3A055,R,3A055,3A055@ftss.aetc.af.mil,23e#J@iwaAef
"Tyler, Zena T W SrA USAF ACC 355 SFS/S4C",Tyler,Zena,124-1132,Zena.T.Tyler.8@fake.af.mil,493F2,T,493F2,493F2@ftss.aetc.af.mil,23e#J@iwaAef
"Hines, Kylynn X K SrA USAF AFMC 78 ABW/SCSE",Hines,Kylynn,1-644-166-9013,Kylynn.X.Hines.19@fake.af.mil,22468,X,22468,22468@ftss.aetc.af.mil,23e#J@iwaAef
"Carrillo, Lael B P MSgt USAF AMC 436 OSS/OSL",Carrillo,Lael,1-177-303-0861,Lael.B.Carrillo.7@fake.af.mil,1DC93,B,1DC93,1DC93@ftss.aetc.af.mil,23e#J@iwaUef
"Mckee, Lydia K M SSgt USAF AFMC 78 LRS/LGRFOD",Mckee,Lydia,179-4526,Lydia.K.Mckee.10@fake.af.mil,1D89A,K,1D89A,1D89A@ftss.aetc.af.mil,23e#J@iwaAef
"Kennedy, Illiana I CTR USAF AFRC 94 OG/OGA",Kennedy,Illiana,1-618-436-2961,Illiana.I.Kennedy.13@fake.af.mil,2F8E7,I,2F8E7,2F8E7@ftss.aetc.af.mil,23e#J@iwaAef
"Caldwell, Emerson E R Maj USAF AETC AFROTC/ADO",Caldwell,Emerson,1-911-505-7849,Emerson.E.Caldwell.4@fake.af.mil,6A217,E,6A217,6A217@ftss.aetc.af.mil,23e#J@iwaCef
"Barnes, Cadman W H CIV USAF ACC 55 FSS/FSMC",Barnes,Cadman,1-277-199-3787,Cadman.W.Barnes.12@fake.af.mil,4FF80,W,4FF80,4FF80@ftss.aetc.af.mil,23e#J@iwaUef
"Ballard, Mollie X T Lt Col USAF ANG 168 AIR REFUELING SQ/DOIA",Ballard,Mollie,786-8228,Mollie.X.Ballard.10@fake.af.mil,68C99,X,68C99,68C99@ftss.aetc.af.mil,23e#J@iwaUef
"Vaughn, Camilla X E GS-13 (NON-MAIL ENABLED)",Vaughn,Camilla,1-115-962-2161,Camilla.X.Vaughn.9@fake.af.mil,22BD5,X,22BD5,22BD5@ftss.aetc.af.mil,23e#J@iwaCef
"Snow, Hilel B L CTR USAF AFSPC 561 NOS Det 3/OL-B",Snow,Hilel,1-748-463-1647,Hilel.B.Snow.1@fake.af.mil,51C31,B,51C31,51C31@ftss.aetc.af.mil,23e#J@iwaUef
"Byrd, Kaden G M A1C USAF ACC 612 AOC/CPDA",Byrd,Kaden,539-6218,Kaden.G.Byrd.1@fake.af.mil,15918,G,15918,15918@ftss.aetc.af.mil,23e#J@iwaGef
"Chambers, Abbot S A TSgt USAF AFRC 934 CES/CES",Chambers,Abbot,587-7429,Abbot.S.Chambers.7@fake.af.mil,D8B9,S,D8B9,D8B9@ftss.aetc.af.mil,23e#J@iwaCef
"Mcknight, Naomi Z M A1C (NON-MAIL ENABLED)",Mcknight,Naomi,1-204-885-5562,Naomi.Z.Mcknight.5@fake.af.mil,5902,Z,5902,5902@ftss.aetc.af.mil,23e#J@iwaUef
"Jennings, Kaitlin D N MSgt USAF AETC 56 MXG/CCR",Jennings,Kaitlin,1-393-545-1774,Kaitlin.D.Jennings.2@fake.af.mil,189A1,D,189A1,189A1@ftss.aetc.af.mil,23e#J@iwaUef
"Lowery, Astra L L JR NF-02 USAF USAFE 86 FSS/FSBMOP",Lowery,Astra,1-156-995-5142,Astra.L.Lowery.12@fake.af.mil,269C5,L,269C5,269C5@ftss.aetc.af.mil,23e#J@iwaUef
